timestamp,conflicts_predicted,conflicts_accurately_predicted,recommendations_generated,recommendations_accepted,false_positive_rate,prediction_accuracy,recommendation_acceptance_rate,average_response_time_ms
2025-09-12T18:17:40.668072,0,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:17:45.700967,0,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:17:50.716497,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:17:55.726637,0,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:00.736501,0,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:05.749557,1,0,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:10.773933,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:15.786134,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:20.798922,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:25.813600,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:30.824604,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:35.836976,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:40.845030,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:45.851668,3,2,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:50.869763,2,1,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:18:55.889972,2,1,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:00.905001,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:05.916343,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:10.927986,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:15.952549,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:20.970961,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:25.987267,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:31.009527,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:19:36.024458,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:12.862064,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:17.875114,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:22.884238,1,0,1,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:27.894747,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:32.899236,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:37.910409,0,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:42.925540,1,0,0,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:47.933333,3,2,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:52.949607,3,2,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:47:57.956538,3,2,4,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:02.969709,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:07.984729,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:12.999015,3,2,2,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:18.008960,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:23.023300,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:28.027445,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:33.040773,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:38.055813,4,3,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:43.056855,3,2,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:48.072120,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:53.087188,3,2,4,0,0.15,0.87,0.0,250.0
2025-09-12T18:48:58.091970,2,1,4,0,0.15,0.87,0.0,250.0
2025-09-12T18:49:03.095303,2,1,3,0,0.15,0.87,0.0,250.0
2025-09-12T18:49:08.096428,3,2,3,0,0.15,0.87,0.0,250.0
